No.     Time           Source                Destination           Protocol Length Info
      4 6.666148000    192.168.0.2           192.168.0.1           TCP      66     49395 > http [SYN] Seq=0 Win=8192 Len=0 MSS=1260 WS=4 SACK_PERM=1
      5 6.666427000    192.168.0.1           192.168.0.2           TCP      60     http > 49395 [SYN, ACK] Seq=0 Ack=1 Win=2048 Len=0 MSS=1260
      6 6.666484000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=1 Ack=1 Win=65520 Len=0
      7 6.667594000    192.168.0.2           192.168.0.1           HTTP     523    GET /upload.htm HTTP/1.1 
      8 6.770993000    192.168.0.1           192.168.0.2           TCP      86     [TCP segment of a reassembled PDU]
      9 6.771872000    192.168.0.1           192.168.0.2           TCP      86     [TCP segment of a reassembled PDU]
     10 6.771907000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=65 Win=65456 Len=0
     11 6.772254000    192.168.0.1           192.168.0.2           TCP      75     [TCP segment of a reassembled PDU]
     12 6.772755000    192.168.0.1           192.168.0.2           TCP      78     [TCP segment of a reassembled PDU]
     13 6.772788000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=110 Win=65411 Len=0
     14 6.772807000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
     15 6.773133000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
     16 6.773158000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=114 Win=65407 Len=0
     17 6.822957000    192.168.0.1           192.168.0.2           TCP      67     [TCP segment of a reassembled PDU]
     18 6.823063000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     19 6.823122000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=128 Win=65393 Len=0
     20 6.823480000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     21 6.862263000    192.168.0.1           192.168.0.2           TCP      90     [TCP segment of a reassembled PDU]
     22 6.862350000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=165 Win=65356 Len=0
     23 6.862377000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     24 6.862692000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     25 6.862719000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=167 Win=65354 Len=0
     26 6.901303000    192.168.0.1           192.168.0.2           TCP      90     [TCP segment of a reassembled PDU]
     27 6.901794000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     28 6.901831000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=204 Win=65317 Len=0
     29 6.901850000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     30 6.936465000    192.168.0.1           192.168.0.2           TCP      86     [TCP segment of a reassembled PDU]
     31 6.936539000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=237 Win=65284 Len=0
     32 6.936907000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     33 6.936928000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     34 6.936946000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=239 Win=65282 Len=0
     35 7.010729000    192.168.0.1           192.168.0.2           TCP      123    [TCP segment of a reassembled PDU]
     36 7.010805000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     37 7.010847000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=309 Win=65212 Len=0
     38 7.011193000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     39 7.033297000    192.168.0.1           192.168.0.2           TCP      74     [TCP segment of a reassembled PDU]
     40 7.033375000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=330 Win=65191 Len=0
     41 7.033400000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     42 7.033711000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     43 7.033735000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=332 Win=65189 Len=0
     44 7.064264000    192.168.0.1           192.168.0.2           TCP      82     [TCP segment of a reassembled PDU]
     45 7.064329000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     46 7.064367000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=361 Win=65160 Len=0
     47 7.064706000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     48 7.106749000    192.168.0.1           192.168.0.2           TCP      93     [TCP segment of a reassembled PDU]
     49 7.106823000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=401 Win=65120 Len=0
     50 7.106845000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     51 7.107157000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     52 7.107181000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=403 Win=65118 Len=0
     53 7.206937000    192.168.0.1           192.168.0.2           TCP      148    [TCP segment of a reassembled PDU]
     54 7.207047000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     55 7.207112000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=498 Win=65023 Len=0
     56 7.207464000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     57 7.224261000    192.168.0.1           192.168.0.2           TCP      69     [TCP segment of a reassembled PDU]
     58 7.224394000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=514 Win=65007 Len=0
     59 7.224437000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     60 7.224794000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     61 7.224842000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=516 Win=65005 Len=0
     62 7.314771000    192.168.0.1           192.168.0.2           TCP      139    [TCP segment of a reassembled PDU]
     63 7.315190000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     64 7.315266000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=602 Win=64919 Len=0
     65 7.315299000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     66 7.317310000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
     67 7.317378000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=604 Win=64917 Len=0
     68 7.317764000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     69 7.317809000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     70 7.317840000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=606 Win=64915 Len=0
     71 7.404665000    192.168.0.1           192.168.0.2           TCP      134    [TCP segment of a reassembled PDU]
     72 7.404737000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     73 7.404780000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=687 Win=64834 Len=0
     74 7.405168000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     75 7.489220000    192.168.0.1           192.168.0.2           TCP      133    [TCP segment of a reassembled PDU]
     76 7.489312000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=767 Win=64754 Len=0
     77 7.489341000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     78 7.489653000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     79 7.489685000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=769 Win=64752 Len=0
     80 7.501001000    192.168.0.1           192.168.0.2           TCP      64     [TCP segment of a reassembled PDU]
     81 7.501493000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     82 7.501533000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=780 Win=64741 Len=0
     83 7.501551000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     84 7.510993000    192.168.0.1           192.168.0.2           TCP      62     [TCP segment of a reassembled PDU]
     85 7.511058000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=789 Win=64732 Len=0
     86 7.511413000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     87 7.511438000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     88 7.511457000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=791 Win=64730 Len=0
     89 7.513953000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
     90 7.514000000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     91 7.514026000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=793 Win=64728 Len=0
     92 7.514345000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     93 7.554345000    192.168.0.1           192.168.0.2           TCP      91     [TCP segment of a reassembled PDU]
     94 7.554419000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=831 Win=64690 Len=0
     95 7.554443000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     96 7.554753000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     97 7.554775000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=833 Win=64688 Len=0
     98 7.593728000    192.168.0.1           192.168.0.2           TCP      90     [TCP segment of a reassembled PDU]
     99 7.593840000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    100 7.593905000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=870 Win=64651 Len=0
    101 7.594271000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    102 7.673065000    192.168.0.1           192.168.0.2           TCP      128    [TCP segment of a reassembled PDU]
    103 7.673154000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=945 Win=64576 Len=0
    104 7.673188000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    105 7.673221000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    106 7.673253000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=947 Win=64574 Len=0
    107 7.776941000    192.168.0.1           192.168.0.2           TCP      152    [TCP segment of a reassembled PDU]
    108 7.777423000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    109 7.777467000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1046 Win=64475 Len=0
    110 7.777492000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    111 7.789192000    192.168.0.1           192.168.0.2           TCP      64     [TCP segment of a reassembled PDU]
    112 7.789279000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1057 Win=64464 Len=0
    113 7.789670000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
