No.     Time           Source                Destination           Protocol Length Info
     13 4.414789000    192.168.0.2           192.168.0.1           TCP      66     49399 > http [SYN] Seq=0 Win=8192 Len=0 MSS=1260 WS=4 SACK_PERM=1
     14 4.415148000    192.168.0.1           192.168.0.2           TCP      60     http > 49399 [SYN, ACK] Seq=0 Ack=1 Win=2048 Len=0 MSS=1260
     15 4.415244000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1 Ack=1 Win=65520 Len=0
     16 4.421577000    192.168.0.2           192.168.0.1           TCP      693    [TCP segment of a reassembled PDU]
     17 4.422197000    192.168.0.2           192.168.0.1           TCP      1314   [TCP segment of a reassembled PDU]
     18 4.563038000    192.168.0.1           192.168.0.2           TCP      86     [TCP segment of a reassembled PDU]
     19 4.563895000    192.168.0.1           192.168.0.2           TCP      86     [TCP segment of a reassembled PDU]
     20 4.563977000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=65 Win=65456 Len=0
     21 4.564329000    192.168.0.1           192.168.0.2           TCP      75     [TCP segment of a reassembled PDU]
     22 4.564789000    192.168.0.1           192.168.0.2           TCP      78     [TCP segment of a reassembled PDU]
     23 4.564855000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=110 Win=65411 Len=0
     24 4.564886000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
     25 4.565403000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
     26 4.565508000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=114 Win=65407 Len=0
     27 4.646443000    192.168.0.1           192.168.0.2           TCP      98     [TCP segment of a reassembled PDU]
     28 4.646724000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     29 4.646792000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=159 Win=65362 Len=0
     30 4.647149000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     31 4.660946000    192.168.0.1           192.168.0.2           TCP      66     [TCP segment of a reassembled PDU]
     32 4.661075000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=172 Win=65349 Len=0
     33 4.661116000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     34 4.661448000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     35 4.661488000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=174 Win=65347 Len=0
     36 4.670616000    192.168.0.1           192.168.0.2           TCP      62     [TCP segment of a reassembled PDU]
     37 4.671084000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     38 4.671156000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=183 Win=65338 Len=0
     39 4.671193000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     40 4.692148000    192.168.0.1           192.168.0.2           TCP      73     [TCP segment of a reassembled PDU]
     41 4.692277000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=203 Win=65318 Len=0
     42 4.692654000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     43 4.692699000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     44 4.692741000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=205 Win=65316 Len=0
     45 4.714721000    192.168.0.1           192.168.0.2           TCP      74     [TCP segment of a reassembled PDU]
     46 4.715211000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     47 4.715282000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=226 Win=65295 Len=0
     48 4.715320000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     49 4.722609000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
     50 4.722686000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=233 Win=65288 Len=0
     51 4.723064000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     52 4.723126000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     53 4.723167000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=235 Win=65286 Len=0
     54 4.735737000    192.168.0.1           192.168.0.2           TCP      65     [TCP segment of a reassembled PDU]
     55 4.736058000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     56 4.736106000    192.168.0.2           192.168.0.1           TCP      54     49399 > http [ACK] Seq=1900 Ack=247 Win=65274 Len=0
     57 4.736459000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
     58 4.767014000    192.168.0.1           192.168.0.2           TCP      82     [TCP segment of a reassembled PDU]
